date_logged,sport,matchup,game_date,pick,pitcher,price,edge_pct,win_prob_pct,confidence,num_books,reasoning,result,date_graded,bet_type,line
2026-07-20,baseball_mlb,San Diego Padres @ Atlanta Braves,"Jul 20, 2026 11:16 PM UTC",Atlanta Braves,Bryce Elder,1.76,-0.4,56.5,51,9,x,WIN,2026-07-21,,
2026-07-20,baseball_mlb,Washington Nationals @ Colorado Rockies,"Jul 21, 2026 12:41 AM UTC",Washington Nationals,Andrew Alvarez,1.82,13.2,62.2,73,9,x,WIN,2026-07-21,,
2026-07-21,baseball_mlb,San Diego Padres @ Atlanta Braves,"Jul 21, 2026 11:16 PM UTC",Atlanta Braves,Reynaldo López,1.71,3.9,60.7,60,9,Atlanta Braves gets a start from Reynaldo López (3.5 ERA); brings a stronger offense (4.97 vs 4.07 runs/game); backed by the #1 bullpen in MLB (2.76 ERA); has been strong at home this season (61%); holds the better season record (58% vs 49%).,LOSS,2026-07-22,,
2026-07-21,baseball_mlb,Miami Marlins @ Houston Astros,"Jul 22, 2026 12:11 AM UTC",Miami Marlins,Tyler Phillips,2.07,20.9,58.5,74,9,Miami Marlins gets a start from Tyler Phillips (3.48 ERA); backed by the #24 bullpen in MLB (4.15 ERA); holds the better season record (51% vs 47%).,LOSS,2026-07-22,,
2026-07-21,baseball_mlb,Washington Nationals @ Colorado Rockies,"Jul 22, 2026 12:41 AM UTC",Washington Nationals,Miles Mikolas,1.92,6.6,55.7,61,9,"Washington Nationals gets a start from Miles Mikolas (5.53 ERA); brings a stronger offense (5.47 vs 4.77 runs/game); backed by the #30 bullpen in MLB (6.25 ERA); is playing better lately (5-5 in their last 10); has been strong on the road this season (62%); holds the better season record (50% vs 39%). Game at a hitter-friendly park (factor 118), expect added scoring variance.",LOSS,2026-07-22,,
2026-07-21,baseball_mlb,St. Louis Cardinals @ Los Angeles Angels,"Jul 22, 2026 01:39 AM UTC",Los Angeles Angels,Walbert Ureña,1.94,9.8,56.5,65,9,Los Angeles Angels gets a start from Walbert Ureña (2.88 ERA); backed by the #16 bullpen in MLB (3.7 ERA).,WIN,2026-07-22,,
2026-07-22,baseball_mlb,Los Angeles Dodgers @ Philadelphia Phillies,"Jul 22, 2026 10:40 PM UTC",Los Angeles Dodgers,Eric Lauer,1.84,6.2,57.7,62,9,Los Angeles Dodgers gets a start from Eric Lauer (4.81 ERA); brings a stronger offense (5.16 vs 4.34 runs/game); backed by the #3 bullpen in MLB (3.1 ERA); has been strong on the road this season (63%); hits righties well this season (0.782 OPS); holds the better season record (62% vs 54%).,WIN,2026-07-23,,
2026-07-22,baseball_mlb,Miami Marlins @ Houston Astros,"Jul 23, 2026 12:11 AM UTC",Houston Astros,Peter Lambert,1.84,1.3,55.0,52,9,Houston Astros gets a start from Peter Lambert (3.03 ERA); backed by the #19 bullpen in MLB (3.77 ERA); is playing better lately (4-6 in their last 10).,WIN,2026-07-23,,
2026-07-23,baseball_mlb,Tampa Bay Rays @ Toronto Blue Jays,"Jul 23, 2026 07:08 PM UTC",Tampa Bay Rays,Ian Seymour,1.92,12.1,58.3,69,9,Tampa Bay Rays gets a start from Ian Seymour (4.79 ERA); backed by the #23 bullpen in MLB (4.09 ERA); brings a stronger offense (4.53 vs 3.94 runs/game); is playing better lately (5-5 in their last 10); holds the better season record (58% vs 45%).,LOSS,2026-07-24,,
2026-07-24,baseball_mlb,New York Yankees @ Philadelphia Phillies,"Jul 24, 2026 10:46 PM UTC",New York Yankees,Cam Schlittler,2.16,23.1,56.9,71,9,New York Yankees gets a start from Cam Schlittler (2.2 ERA); backed by the #1 bullpen in MLB (2.84 ERA); is playing better lately (7-3 in their last 10); has been strong on the road this season (58%).,WIN,2026-07-25,,
